"user_id","sequence_item_ids"
0,"147,125,65,183,72"
1,"68,221,112,140,0,91,101,38,40"
2,"196,15,119,90,213,5,139,116,190,14,203,1,10,136,68,52,49,224,64,223,175,178,39,134,38,210,117,141,180"
3,"140,169,176,0,91,27,43,129,14,190,42,10,213,158,82,28,84,228,38,191,184,35,177,179,219,109,31,22,110,198,17,11,133,63,8,148,173,201,104,98,194"
4,"48,57,163,12,138,26,26,97,183,183,61,61"
5,"67,213,4,71,208,94,9,219,135"
6,"195,168,67,46,162,74,124,150,54"
7,"37,39,57,113,146,176,91,46,50,189,189,18,62,17,192,191,32,81,74,10,204,200,225,158,152,38,228,130,226,187,219,114,98,54,61,80"
8,"155,92,83,160,50,79,57,11,156,138,60,55,26,151,62,128,19"
11,"16,216,14,101,188,86,159,191,92,17,142,143,176,0,62,64,59,9,129,19,61,80"
12,"96,121,24,192,144,127,58,62,30,162,88,197,158"
13,"39,169,176,29,31,94,73,179,134,175,64,178,136,84,49,117"
14,"113,113,124,151,166,87,125,133,150"
15,"146,68,190,203,145,110,10,71,116,30,7,47,159,51,20,175,105,167,41,73,131,148,219,44,186,33"
16,"133,146,76,29,119,6,191,44,116,23,81,220,110,157,89,177,9,135,173,226,104,21,182"
17,"155,39,113,100,57,63,156,83,221,120,112,60,86,187,73,224,159,144,14,166,122,172,103,177,174,150,61,201"
18,"110,53,71,7"
19,"132,156,74,124,193,193,218"
20,"73,195,123,123,211,123,24,100,11,32,3,3,63,187,25,207,216,76,95,158,35,21,219,8,77,166,66,125,151,174,135,186,19,61,114,72,194,104,98,185,111"
21,"73,11,164,25,138,27,47,95,95,42,134,97,77,130,114"
22,"91,88,225,74,32,7,224,205,135,54,111,66,219"
23,"2,10,1,217,212,223,143"
24,"196,115,42,193"
25,"146,4,96,121,139,134,184,10,95,1,17,224,41,49,204,196,50,81,38,145,16,34"
26,"133,155,199,4,100,29,15,120,227,213,190,37,171,25,156,70,70,128,81,179,50,91,158,32,102,131,205,61,130,46,19,164,141,105,54,80"
27,"195,107,221,94,208,153,63,3,129,95,152,186,130,226,85,72,33"
28,"108,48,144,214,217"
29,"112,138,93,164,30,145,14,73,103,25,32,205,135,149,104,194,54,185"
30,"196,84,175,179,167,99,64,136,31"
31,"206,13,222,71,45,157,157,217"
32,"196,13,4,31,5,165,76,223,134,14,10,204,7,149,157,157"
33,"112,222,104"
34,"132,123,79,209,113,67,57,7,144,0,174,63,46,61,3"
37,"132,163,5,25,7,190,97,172,65,83,75"
38,"29,5,99,164,143,120,22,161"
39,"119,169,139,94,7,203,179,167,110,84,89"
40,"24,140,138,214,45,62,51,162,127,20,26"
